month,price
2016-09,134.97
2016-10,151.63444444444445
2016-12,10.9
2017-01,149.34822192513369
2017-02,141.76652041438146
2017-03,141.0836017282011
2017-04,147.9243074250977
2017-05,137.98568406205925
2017-06,134.58480701754385
2017-07,124.3813326446281
2017-08,132.29184354877174
2017-09,146.3534996384671
2017-10,144.76276239392587
2017-11,135.5170238748628
2017-12,131.694756031199
2018-01,130.80280096194653
2018-02,126.06270896888347
2018-03,136.13540625446237
2018-04,143.2088982053545
2018-05,144.84289376203884
2018-06,140.35301345144356
2018-07,140.91723034437948
2018-08,132.03851991812314
